,Activity_ID,Activity_Name,Activity_Content,Activity_Type,GameType,Ages_2yo,Ages_3yo,Ages_4yo,Ages_5yo,Ages_6yo,Ages_7yo,Cultures_None,Cultures_Brazil,Cultures_US,Cultures_UK,Cultures_Denmark,Cultures_Spain,Cultures_Mexico,Cultures_Canada,Cultures_Portugal,Cultures_Australia,Cultures_France,Cultures_Italy,Cultures_Germany
91,newkinder-yasmin-hotspot-1,First day in the new kindergarden,social-codes,SEL,hotspot,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
92,newbaby-poiki-hotspot-1,New baby in the family,baby,SEL,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,foods-poiki-hotspot-1,I don't like this food,foods,SEL,hotspot,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
94,friends-all-hotspot-1,My best friend,friends,SEL,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,feelings-wendy-hotspot-1,Sad and happy,feelings,SEL,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,who-kevin-hotspot-1,Where are the pets?,pets,standard,hotspot,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,who-wendy-simulation-1,Wendy's morning routine,routine,standard,simulation,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,farm-poiki-simulation-1,Collecting the eggs,numbers,standard,simulation,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,farm-wendy-simulation-2,Poiki plants and harvest,vegetables,cultural,simulation,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
100,cooking-kevin-simulation-1,Preparing some food from my country,foods,cultural,simulation,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
101,cooking-poiki-simulation-1,Preparing some desert from my country,foods,cultural,simulation,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
102,cooking-yasmin-simulation-1,Baking a birthday cake,birthday,cultural,simulation,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
103,feelings-poiki-simulation-1,I am happy,feelings,SEL,simulation,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,sleeping-kevin-simulation-1,Nap time,sleeping,SEL,simulation,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,birthday-wendy-simulation-1,It is Wendy's birthday,birthday,SEL,simulation,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
106,christmas-all-simulation-1,How we celebrate Christmas,celebrations,SEL,simulation,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
107,cooking-kevin-simulation-2,Cake decoration,birthday,cultural,simulation,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
108,who-kevin-simulation-1,Pet care - simple version,pets,standard,simulation,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,who-poiki-simulation-2,Pet care - complete version,pets,standard,simulation,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,lab-wendy-colors-1,Mixing colors with Wendy,colors,standard,simulation,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,who-wendy-routine-2,Wendy is getting ready to sleep,routine,standard,simulation,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,farm-kevin-identification-1,Vegetables in the right baskets,colors,standard,identification,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,farm-wendy-identification-1,Collecting garbage in the farm,environment,standard,identification,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,farm-kevin-piano-1,Farm animals piano,phonics,standard,identification,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,farm-poiki-identification-1,Poiki is harvesting with his tractor,vegetables,cultural,identification,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
116,family-kevin-identification-1,My family,family,SEL,identification,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,colors-yasmin-identification-1,Collecting toys,colors,standard,identification,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,lab-wendy-shapes-1,Wendy's popping balloons,shapes,standard,identification,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,lab-wendy-space-1,Wendy teaches how to use the telescope,space,standard,identification,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,veggies-poiki-drawing-1,Drawing vegetables,vegetables,cultural,drawing,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
121,fruits-kevin-drawing-1,Drawing fruits,fruits,cultural,drawing,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
122,mycountry-yasmin-coloring-1,Celebrations from my country,celebrations,cultural,coloring-book,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
123,fairtytales-wendy-coloring-1,Fairy tales from my country,fairy-tales,cultural,coloring-book,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
124,foods-poiki-naming-1,What is the name of this food?,foods,cultural,naming,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
125,mycountry-yasmin-tracing-1,Monuments from my country,my-country,cultural,tracing,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
126,alphabet-poiki-tracing-1,My name,alphabet,cultural,tracing,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
127,farm-yasmin-tracing-1,Moms and curbs,farm-animals,SEL,tracing,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,alphabet-kevin-tracing-1,Tracing vowels,alphabet,cultural,tracing,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
129,yho-yasmin-tracing-1,Tracing my name,myself,cultural,tracing,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
130,farm-kevin-colors-1,Collecting the leaves,colors,standard,game,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,family-wendy-game-1,My family,family,SEL,game,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,diapers-kevin-game-1,Pee time,diaper-weaning,SEL,game,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
